Order Date,Order Count
2025-04-25,3
2025-02-24,3
2025-01-14,3
2025-06-01,2
2025-05-30,2
2025-04-17,2
2025-04-03,2
2025-04-01,2
2025-03-28,2
2025-03-22,2
2025-03-18,2
2025-02-19,2
2025-02-06,2
2025-01-19,2
2025-01-18,2
2025-01-16,2
2025-01-09,2
2025-01-04,2
2024-12-27,2
2025-06-19,1
2025-06-16,1
2025-06-13,1
2025-06-11,1
2025-05-31,1
2025-05-27,1
2025-05-25,1
2025-05-24,1
2025-05-23,1
2025-05-21,1
2025-05-20,1
2025-05-17,1
2025-05-16,1
2025-05-12,1
2025-05-11,1
2025-05-08,1
2025-05-02,1
2025-04-26,1
2025-04-23,1
2025-04-22,1
2025-04-20,1
2025-04-19,1
2025-04-15,1
2025-04-08,1
2025-04-02,1
2025-03-30,1
2025-03-29,1
2025-03-14,1
2025-03-13,1
2025-03-10,1
2025-03-06,1
2025-03-05,1
2025-03-03,1
2025-03-02,1
2025-02-22,1
2025-02-21,1
2025-02-20,1
2025-02-16,1
2025-02-11,1
2025-02-07,1
2025-02-02,1
2025-01-30,1
2025-01-29,1
2025-01-27,1
2025-01-26,1
2025-01-25,1
2025-01-24,1
2025-01-23,1
2025-01-22,1
2025-01-15,1
2025-01-13,1
2025-01-10,1
2025-01-06,1
2025-01-01,1
2024-12-31,1
2024-12-29,1
2024-12-28,1
2024-12-26,1
2024-12-23,1
Grand Total,100
